spectrum_lambda,seed,method,noise_bin,sigma,n,score_error,unweighted_score_error,reference_error,relative_to_gaussian,dsm_pixel_mean,frequency_band_0,frequency_band_1,frequency_band_2,frequency_band_3
1.0,43,scalar_gate_s1p5_p4,14,2.125,1024,0.03968672842428366,0.008788756467661434,0.03455925081612765,1.1483677304070257,0.1489014478573984,0.13788992673628747,0.05472017104558184,0.024053409723328915,0.017462479794469382
1.0,43,scalar_gate_s1p5_p4,15,2.25,1024,0.03404429488871519,0.006724798990363494,0.027392517260649743,1.2428319224834785,0.13929614074754437,0.12919923339195044,0.04456028897833755,0.0201679360798993,0.0149071395053381
1.0,43,scalar_gate_s1p5_p4,16,2.375,1024,0.02914592692370927,0.005167144939383361,0.022049406552376714,1.3218463206470117,0.12896982604298116,0.11741872925545291,0.036509672944286954,0.016994894703641433,0.012918276645303225
1.0,43,scalar_gate_s1p5_p4,17,2.5,1024,0.023782628341246913,0.003805220534599506,0.01654586800333205,1.4373756841561594,0.11974452325383379,0.09673111509202184,0.028900777979220527,0.014146338271978035,0.010560521051656856
1.0,43,fourier_gate_s1p5_p4,0,0.5,1024,0.06464339521242926,0.25857358084971704,0.25451124087094984,0.25399033453774544,0.4460506967141624,0.07510538641684943,0.09379741570640057,0.05732530376275983,0.0346479313638869
1.0,43,fourier_gate_s1p5_p4,1,0.625,1024,0.07712027675319041,0.19742790848816746,0.245662157011717,0.31392819183588017,0.37971083509206816,0.11032072530150797,0.1187386679047232,0.06262100422089623,0.03946236174562271
1.0,43,fourier_gate_s1p5_p4,2,0.75,1024,0.08674606739952054,0.15421523093248096,0.2272133861828322,0.3817823802410938,0.32973255993341927,0.14124869313073468,0.13787643332064758,0.06650529896146999,0.04203352778836663
1.0,43,fourier_gate_s1p5_p4,3,0.800000011920929,1024,0.09148685406776391,0.14294820522069257,0.22092399094548656,0.4141100913315407,0.3202609288757018,0.15846127862731899,0.14930760260379283,0.06703294987819745,0.04386781440898871
1.0,43,fourier_gate_s1p5_p4,4,0.875,1024,0.09606254021662827,0.12546944028294305,0.20802849885256244,0.46177586603031434,0.2971680440540405,0.18039522943747643,0.15518375412584934,0.06913224047505379,0.04584335383460114
1.0,43,fourier_gate_s1p5_p4,5,1.0,1024,0.101143463967259,0.101143463967259,0.18866346927700323,0.536105184299119,0.2727189291968664,0.20878913757767475,0.16605864183670505,0.07004514265451398,0.043418098486160926
1.0,43,fourier_gate_s1p5_p4,6,1.125,1024,0.10216030709716395,0.08071925499035176,0.16656224675733286,0.6133461158578324,0.25488165213361924,0.22410870858748622,0.16975142464354714,0.06809575305316509,0.04293752368629945
1.0,43,fourier_gate_s1p5_p4,7,1.25,1024,0.09817662565470557,0.06283304041901157,0.14418740701494248,0.6808959789708354,0.2335687532125028,0.2284517076611748,0.16236776045759221,0.06457910421855591,0.03860797698254517
1.0,43,fourier_gate_s1p5_p4,8,1.375,1024,0.08954002904692039,0.04736001536366037,0.12185080469494965,0.734833301028102,0.2217821825782262,0.2273305879472784,0.14827809667028785,0.05658392335863709,0.03306733092758308
1.0,43,fourier_gate_s1p5_p4,9,1.5,1024,0.08081509672043241,0.03591782076463663,0.10209634070744247,0.7915572307533375,0.2102683615645721,0.20969301775634808,0.13313033039654207,0.05091630923843904,0.029162366763814826
1.0,43,fourier_gate_s1p5_p4,10,1.625,1024,0.06814229468003341,0.025805366032675376,0.08421561102624589,0.8091408926404011,0.18993588299199668,0.1895570907733511,0.11325942982688,0.04092900738417918,0.023287141929245674
1.0,43,fourier_gate_s1p5_p4,11,1.75,1024,0.058052631127066184,0.01895596118434814,0.06931799879163486,0.837482791469044,0.1761661746513044,0.16885973935645618,0.09521691394741708,0.03472312337053332,0.018556986399238806
