spectrum_lambda,method,baseline,paired_delta_mean,paired_delta_sd,relative_change_percent,wins,n_seeds
1.0,scalar_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_tanh_sigma,-0.00027145697041515887,0.0001917973353553225,-0.4658657384720266,3,3
1.0,scalar_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_tanh_sigma,0.003706786531116432,0.0008335785501038322,6.8276119063221286,0,3
1.0,fourier_gate_s1p5_p4_linear_sigma,score,-0.02369581330031775,0.0005336413314972425,-30.371193770247405,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,scalar_gaussian,-0.020593575641457116,0.0014294461347400533,-27.487990585307397,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,fourier_gaussian,-0.07364753781808324,0.006902745471942772,-57.54954394201415,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,scalar_normalized,-0.02459841622208704,0.0021701419139831344,-31.16750074017759,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,fourier_normalized,-0.03077247524928027,0.004156802368431977,-36.16149797582342,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4,-0.004243063401562855,4.427378531105214e-05,-7.2446867442182095,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4,-0.0012629963735654656,0.000579660138310881,-2.2720719942363465,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,-0.01484650335075439,0.0016349179312849268,-21.46336317021391,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,-0.007988734853228228,0.0004497276995503331,-12.82020949614575,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,-0.003679474829356197,0.0004376522336115539,-6.343446784588879,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0.0009510157930594602,5.700264286284314e-05,1.7818008162558074,0,3
1.0,fourier_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_linear_sigma,-0.003673028757950239,0.0004979022901396571,-6.333037496854743,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,scalar_gate_s1p5_p4_tanh_sigma,-0.003944485728365398,0.0003377281372477987,-6.769399783424346,3,3
1.0,fourier_gate_s1p5_p4_linear_sigma,fourier_gate_s1p5_p4_tanh_sigma,3.3757773166193106e-05,0.0003713885339428291,0.06217918730027083,1,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,score,-0.01975132757195235,0.0006400407867687278,-25.315501489849733,3,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,scalar_gaussian,-0.01664908991309172,0.0014085274150954052,-22.222951213178455,3,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,fourier_gaussian,-0.06970305208971785,0.007164566896528223,-54.46725006663799,3,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,scalar_normalized,-0.020653930493721644,0.002373145705503154,-26.16962767597356,3,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,fourier_normalized,-0.026827989520914874,0.003833736982268111,-31.526235081744545,3,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,scalar_gate_s1p5_p4,-0.00029857767319745737,0.00037486449654510227,-0.5097971692660686,3,3
1.0,scalar_gate_s1p5_p4_tanh_sigma,fourier_gate_s1p5_p4,0.0026814893547999325,0.0009079285587964264,4.823875185551363,0,3
