spectrum_lambda,seed,method,band,score_error
0.5,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.03736713973271445
0.5,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.03590270272223999
0.5,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.07355881907417926
0.5,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.04895003924879154
0.5,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,2,0.03846603245464357
0.5,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,3,0.03696903582653684
0.5,44,scalar_gate_s1p5_p4_linear_sigma,0,0.07351488652988218
0.5,44,scalar_gate_s1p5_p4_linear_sigma,1,0.04845221162645561
0.5,44,scalar_gate_s1p5_p4_linear_sigma,2,0.03741267224494969
0.5,44,scalar_gate_s1p5_p4_linear_sigma,3,0.03648233647689521
0.5,44,fourier_gate_s1p5_p4_linear_sigma,0,0.07173138955453265
0.5,44,fourier_gate_s1p5_p4_linear_sigma,1,0.047897656051966324
0.5,44,fourier_gate_s1p5_p4_linear_sigma,2,0.03716100829071824
0.5,44,fourier_gate_s1p5_p4_linear_sigma,3,0.03552437429939284
0.5,44,scalar_gate_s1p5_p4_tanh_sigma,0,0.07308899212304275
0.5,44,scalar_gate_s1p5_p4_tanh_sigma,1,0.04836164526251434
0.5,44,scalar_gate_s1p5_p4_tanh_sigma,2,0.03708278242555572
0.5,44,scalar_gate_s1p5_p4_tanh_sigma,3,0.03566251201788527
0.5,44,fourier_gate_s1p5_p4_tanh_sigma,0,0.07266835853474768
0.5,44,fourier_gate_s1p5_p4_tanh_sigma,1,0.04783453815904418
0.5,44,fourier_gate_s1p5_p4_tanh_sigma,2,0.036858162129035706
0.5,44,fourier_gate_s1p5_p4_tanh_sigma,3,0.03504894785935045
0.5,44,score,0,0.0867999499928135
0.5,44,score,1,0.06261626364266688
0.5,44,score,2,0.05466144337017244
0.5,44,score,3,0.053534511777905025
0.5,44,scalar_gaussian,0,0.07153001375925223
0.5,44,scalar_gaussian,1,0.09370070933949112
0.5,44,scalar_gaussian,2,0.09000976392712721
0.5,44,scalar_gaussian,3,0.08706744022849387
0.5,44,fourier_gaussian,0,0.10616194524845277
0.5,44,fourier_gaussian,1,0.13394984504122867
0.5,44,fourier_gaussian,2,0.13551820990374963
0.5,44,fourier_gaussian,3,0.13321229570997017
0.5,44,scalar_normalized,0,0.06853055136464148
0.5,44,scalar_normalized,1,0.09443917123775607
0.5,44,scalar_normalized,2,0.09781677215772881
0.5,44,scalar_normalized,3,0.09367176903551032
0.5,44,fourier_normalized,0,0.09793647261885303
0.5,44,fourier_normalized,1,0.12108982270118163
0.5,44,fourier_normalized,2,0.12575652571672727
0.5,44,fourier_normalized,3,0.12380566156357992
0.5,44,scalar_gate_s1p5_p4,0,0.07350141761609859
0.5,44,scalar_gate_s1p5_p4,1,0.04774879347102357
0.5,44,scalar_gate_s1p5_p4,2,0.03672615764801831
0.5,44,scalar_gate_s1p5_p4,3,0.035265724119326644
0.5,44,fourier_gate_s1p5_p4,0,0.07340142300068736
0.5,44,fourier_gate_s1p5_p4,1,0.047830842217538444
0.5,44,fourier_gate_s1p5_p4,2,0.036495704246445035
0.5,44,fourier_gate_s1p5_p4,3,0.03471554484064495
0.5,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.07819657529511898
0.5,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.0673607572420945
0.5,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.05116383085763598
0.5,44,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.04818680776518986
0.5,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,0,0.08539017335804666
0.5,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,1,0.06716035428615576
0.5,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,2,0.054804954617650295
0.5,44,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,3,0.05270581670259581
0.5,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,0,0.07488170399725118
0.5,44,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,1,0.048921387369082636
