spectrum_lambda,seed,method,region,n,score_error
1.0,42,fourier_gate_s1p5_p4,low,6144,0.03522742041737648
1.0,42,fourier_gate_s1p5_p4,middle,6144,0.07319027765755175
1.0,42,fourier_gate_s1p5_p4,high,6144,0.060363765219241354
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.04339584022057735
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.09906363476337395
1.0,42,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.07024480479710545
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.02882601280774715
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.0822301484587865
1.0,42,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.0750830179084499
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.03402773897890452
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.07393113519594498
1.0,42,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06761496328388678
1.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.030633080851389605
1.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.07098137001452394
1.0,42,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.058759054088127545
1.0,43,scalar_gate_s1p5_p4_linear_sigma,low,6144,0.033994282265509795
1.0,43,scalar_gate_s1p5_p4_linear_sigma,middle,6144,0.07355122366137856
1.0,43,scalar_gate_s1p5_p4_linear_sigma,high,6144,0.06830946700454436
1.0,43,fourier_gate_s1p5_p4_linear_sigma,low,6144,0.03195137568374674
1.0,43,fourier_gate_s1p5_p4_linear_sigma,middle,6144,0.07119388852219276
1.0,43,fourier_gate_s1p5_p4_linear_sigma,high,6144,0.061377503819247
1.0,43,scalar_gate_s1p5_p4_tanh_sigma,low,6144,0.03440176751012298
1.0,43,scalar_gate_s1p5_p4_tanh_sigma,middle,6144,0.07479370287410919
1.0,43,scalar_gate_s1p5_p4_tanh_sigma,high,6144,0.0676596485303016
1.0,43,fourier_gate_s1p5_p4_tanh_sigma,low,6144,0.03236259081351645
1.0,43,fourier_gate_s1p5_p4_tanh_sigma,middle,6144,0.07123323911273147
1.0,43,fourier_gate_s1p5_p4_tanh_sigma,high,6144,0.05993544854522836
1.0,43,score,low,6144,0.0503527231815906
1.0,43,score,middle,6144,0.09110502757150175
1.0,43,score,high,6144,0.09580012692711583
1.0,43,scalar_gaussian,low,6144,0.042870709051010425
1.0,43,scalar_gaussian,middle,6144,0.10724344839511334
1.0,43,scalar_gaussian,high,6144,0.07216251112206896
1.0,43,fourier_gaussian,low,6144,0.11143293770659361
1.0,43,fourier_gaussian,middle,6144,0.1845484867587627
1.0,43,fourier_gaussian,high,6144,0.06776137364342182
1.0,43,scalar_normalized,low,6144,0.05531390972701983
1.0,43,scalar_normalized,middle,6144,0.11166614903636762
1.0,43,scalar_normalized,high,6144,0.06389761602096784
1.0,43,fourier_normalized,low,6144,0.07920396669394532
1.0,43,fourier_normalized,middle,6144,0.1296051534866029
1.0,43,fourier_normalized,high,6144,0.05028076558285024
1.0,43,scalar_gate_s1p5_p4,low,6144,0.03578868431925678
1.0,43,scalar_gate_s1p5_p4,middle,6144,0.0743285907766734
1.0,43,scalar_gate_s1p5_p4,high,6144,0.06716062438645089
1.0,43,fourier_gate_s1p5_p4,low,6144,0.03453133913578432
1.0,43,fourier_gate_s1p5_p4,middle,6144,0.07228069664755994
1.0,43,fourier_gate_s1p5_p4,high,6144,0.06014777613861683
1.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.04030348110986886
1.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.09419910502107039
1.0,43,scalar_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.06992197734237193
1.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,low,6144,0.02920623411268373
1.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,middle,6144,0.08325496564051509
1.0,43,fourier_gate_s1p5_p4_plateau_lo0p8_hi1,high,6144,0.07533036788923447
1.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.03419242413830607
1.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.07398817640107284
1.0,43,scalar_gate_s1p5_p4_cap_lo1_hi2_d0p5,high,6144,0.06678880064238885
1.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,low,6144,0.031209562264390173
1.0,43,fourier_gate_s1p5_p4_cap_lo1_hi2_d0p5,middle,6144,0.07148354084229497
