sigma,linear_log_sigma,bounded_log_sigmoid
0.29223921525007046,0.3153014632389789,0.048409313556042714
0.29357891545153664,0.31664621998210857,0.049063567196664014
0.29492475718547406,0.3179909767252383,0.04972523964762986
0.2962767686062571,0.3193357334683681,0.050394407698109815
0.2976349779973271,0.32068049021149775,0.05107114890128256
0.29899941377178396,0.3220252469546275,0.05175554158016437
0.30037010447298085,0.32337000369775715,0.05244766483341417
0.3017470787751208,0.32471476044088693,0.053147598541113554
0.3031303654838568,0.3260595171840166,0.05385542337051698
0.30451999353689463,0.3274042739271463,0.05457122078177093
0.30591599200459785,0.32874903067027605,0.05529507303359718
0.3073183900905959,0.3300937874134057,0.056027063188937944
0.3087272171323957,0.33143854415653545,0.0567672751205588
0.31014250260199455,0.33278330089966524,0.05751579351660612
0.3115642761064969,0.3341280576427949,0.05827270388611527
0.31299256738873427,0.33547281438592463,0.05903809256446565
0.3144274063278866,0.33681757112905436,0.059812046718778496
0.31586882294010793,0.3381623278721841,0.060594654353254056
0.317316847379154,0.33950708461531376,0.0613860043144427
0.3187715099370134,0.3408518413584435,0.06218618629644698
0.3202328410445408,0.34219659810157327,0.06299529084604871
0.32170087127209374,0.3435413548447029,0.06381340936775788
0.3231756313301725,0.3448861115878326,0.06464063412877737
0.324657152070062,0.34623086833096234,0.06547705826387916
0.32614546448447745,0.34757562507409206,0.06632277578018671
0.3276405997082128,0.3489203818172218,0.0671778815618584
0.32914258901879184,0.3502651385603516,0.0680424713746663
0.3306514638371227,0.3516098953034813,0.0689166418704649
0.3321672557281549,0.352954652046611,0.06980049059154383
0.3336899964015403,0.3542994087897407,0.07069411597485895
0.3352197177122955,0.3556441655328704,0.0715976173561351
0.33675645166146895,0.3569889222760001,0.07251109497383454
0.3383002303968104,0.3583336790191298,0.07343464997298484
0.3398510862134429,0.35967843576225955,0.07436838440885851
0.3414090515545387,0.3610231925053892,0.07531240125049872
0.3429741590119983,0.36236794924851895,0.07626680438408284
0.34454644132713147,0.3637127059916487,0.07723169861611753
0.34612593139134284,0.36505746273477835,0.0782071896764565
0.34771266224681985,0.3664022194779081,0.07919338422113481
0.3493066670872237,0.3677469762210378,0.08019038983501019
0.3509079792583839,0.36909173296416753,0.081198315034204
0.352516632258996,0.3704364897072972,0.08221726926833335
0.3541326597413223,0.371781246450427,0.08324736292252576
0.3557560955118956,0.3731260031935567,0.08428870731920633
0.35738697353222654,0.37447075993668644,0.08534141471965001
0.35902532791951447,0.37581551667981616,0.0864055983252885
0.3606711929473605,0.3771602734229459,0.08748137227876196
0.3623246030464848,0.3785050301660755,0.08856885166470578
0.3639855928054471,0.3798497869092053,0.0896681525102634
0.3656541969713699,0.381194543652335,0.09077939178531144
0.3673304504506653,0.3825393003954647,0.09190268740239098
0.3690143883097659,0.38388405713859436,0.09303815821632977
